Day,Group,Period,Class Type,Course Code,Department,Faculty Initials,Room No
Friday,Group 2,2,L,AEI2103,AEIE,RSG,ICT004
Friday,Group 2,3,L,AEI2103,AEIE,RSG,ICT004
Friday,Group 2,4,NA,Industry Interaction/ Remedial Class,AEIE,NA,ICT004
Friday,Group 2,5,BREAK,NA,AEIE,NA,NA
Friday,Group 2,6,L,PHY2101,AEIE,NPN,ICT004
Friday,Group 2,7,L,AEI2101,AEIE,PPS,ICT004
Friday,Group 2,8,NA,Remedial Class,AEIE,NA,ICT004
Monday,Group 1,1,LAB,CSE 2055,BT,SSN (DM),ICT B03
Monday,Group 1,2,LAB,CSE 2055,BT,SSN (DM),ICT B03
Monday,Group 2,1,LAB,BTC 2154,BT,"KM, RC (CD)",CB306
Monday,Group 2,2,LAB,BTC 2154,BT,"KM, RC (CD)",CB306
Monday,NA,3,LIBRARY,LIBRARY,BT,NA,NA
Monday,NA,4,L,BTC2101,BT,SB,CB402
Monday,NA,5,BREAK,NA,BT,NA,NA
Monday,NA,6,L,BTC2103,BT,PC,CB401
Monday,NA,7,R,BTC2104,BT,RC,CB218
Monday,NA,8,R,BTC2102,BT,BC,CB402
Monday,NA,9,LIBRARY,LIBRARY,BT,NA,NA
Tuesday,Group 1,1,LAB,BTC2151,BT,SHD(MS),CB415
Tuesday,Group 1,2,LAB,BTC2151,BT,SHD(MS),CB415
Tuesday,Group 2,1,LAB,BTC2153,BT,"RG,PC(AM)",CB413
Tuesday,Group 2,2,LAB,BTC2153,BT,"RG,PC(AM)",CB413
Tuesday,NA,3,L,Industry Interaction/ Remedial Class,BT,NA,CB218
Tuesday,NA,4,BREAK,NA,BT,NA,NA
Tuesday,NA,5,L,BTC2102,BT,SDE,CB402
Tuesday,NA,6,L,BTC2103,BT,KM,CB402
Tuesday,NA,7,L,EVS2016,BT,AM,CB402
Tuesday,NA,8,L,CSE2005,BT,SSN,CB401
Tuesday,NA,9,LIBRARY,LIBRARY,BT,NA,NA
Wednesday,NA,1,L,BTC2104,BT,SHD,CB402
Wednesday,NA,2,L,BTC2101,BT,NKJ,CB402
Wednesday,NA,3,BREAK,NA,BT,NA,NA
Wednesday,NA,4,L,BTC2104,BT,RC,CB402
Wednesday,NA,5,L,BTC2101,BT,SB,CB402
Wednesday,Group 1,6,LAB,BTC2154,BT,"KM, RC (SS)",CB306
Wednesday,Group 1,7,LAB,BTC2154,BT,"KM, RC (SS)",CB306
Wednesday,Group 1,8,LAB,BTC2154,BT,"KM, RC (SS)",CB306
Wednesday,Group 2,6,LAB,CSE 2055,BT,AC(MB),ICTB02
Wednesday,Group 2,7,LAB,CSE 2055,BT,AC(MB),ICTB02
Wednesday,Group 2,8,LIBRARY,LIBRARY,BT,NA,NA
Wednesday,NA,9,LIBRARY,LIBRARY,BT,NA,NA
Thursday,Group 1,1,LAB,BTC2153,BT,"RG,PC(AM)",CB413
Thursday,Group 1,2,LAB,BTC2153,BT,"RG,PC(AM)",CB413
Thursday,Group 2,1,LAB,BTC2151,BT,SHD(MS),CB415
Thursday,Group 2,2,LAB,BTC2151,BT,SHD(MS),CB415
Thursday,NA,3,L,BTC2102,BT,BC,CB402
Thursday,NA,4,L,CSE2005,BT,SSN,CB402
Thursday,NA,5,BREAK,NA,BT,NA,NA
Thursday,NA,6,L,BTC2102,BT,SDE,CB402
