 Routine Individual,9:00 AM - 10:00 AM,10:00 AM - 11:00 AM,11:00 AM - 12:00 PM,12:00 PM - 1:00 PM,1:00 PM - 2:00 PM,2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,4:00 PM - 5:00 PM,5:00 PM - 6:00 PM
,,,,,,,,,
,,,,,,,,,
FRIDAY,SB,SG,SR,,AP,SDS,SD,,
,MTH1101/CSEC,MTH1101/EE,MTH1101/AIML-A,,MTH1101/CSEA,MTH1101/AEIE/ICT004,MTH2103/CSEB,,
,SDS,MS,NF,,MS,MS,,,
,MTH1101/DS-B,MTH1101/ME/CME117,MTH1101/ECEA,,MTH1101/CSBS,MTH1101/CHE,,,
,RB,VB,AP,,NF,,SR,SR,
,MTH2102/AIML,MTH2103/DS,MTH1101/CSEB,,CYBER SECURITY,,CYBER LAB,CYBER LAB,
,DC,DC,SD,,SR,,,,
,CBS2153/CSBS,CBS2153/CSBS,MTH2103/CSEC,,MTH1101/AIML-B,,,,
,VB,MP,SK,,MP,MP,,,
,MTH2103/CSEB,MTH1101/ECEB,MTH2103/AIML,,MTH1101/ECEC,MTH2102/CSEA,,,
,,NF,SC,,VB,NF,,,
,,MTH1101/BCA-A,MTH3131/AIML,,MTH2103/CSEA,MTH2102/DS,,,
,,SR,SG,,SK,SG,,,
,,CC301/BCA,MTH2101/ECEC,,MTH1101/ME/CME117,MTH2101/ECEA,,,
,,,RB,,SD,SK,,,
,,,MTH2101/ECEB,,MTH5101/CSE,MTH1101/BT,,,
,,,,,DC,,,,
,,,,,MTH3131/AIML,,,,
,,,,,SB,,,,
,,,,,MTH2001/ME/CME104,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Link to Load Matrix,Routine - Load matrix,,,,,,,,
Dept & Course wise,Dept & Course wise,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Faculty Code,Lecture Count,T1 Count,Total Load,,,,,,
MP,10,2,12,,,,,,
SG,11,1,12,,,,,,
MS,9,1,10,,,,,,
SD,9,1,10,,,,,,
VB,10,2,12,,,,,,
AP,11,1,12,,,,,,
GF,8,2,10,,,,,,
SDS,10,0,10,,,,,,
SB,10,2,12,,,,,,
RB,9,1,10,,,,,,
SK,12,1,13,,,,,,
DC,9,0,9,,,,,,
DC,13,0,13,,,,,,
